CC_FIPS	FULL_NAME_ND
CI	Capilla Palacio
CI	Capilla Vieja
CI	Capitan Pastene
CI	Caquena
CI	Caracha
CI	Caracol
CI	Caracoles
CI	Caracote
CI	Caragua
CI	Caraguano
CI	Carahue
CI	Caramavida
CI	Carampangue
CI	Carboniri
CI	Cardamo
CI	Cardonal
CI	Carelmapu
CI	Caren
CI	Carihueico
CI	Cariquima
CI	Carisa
CI	Caritaya
CI	Carora
CI	Carpa Manzano
CI	Carpa Numero Cuatro
CI	Carrascal
CI	Carreras Cortas
CI	Carriringue
CI	Carrizal
CI	Carrizal Bajo
CI	Carrizales
CI	Carrizalillo
CI	Carrizalillo Chico
CI	Carrizalillo Grande
CI	Carrizo
CI	Cartagena
CI	Cartago
CI	Casa Angostura
CI	Casa Blanca
CI	Casa de Lata
CI	Casa de Pesca
CI	Casa de Piedra
CI	Casa Grande
CI	Casa Pangue
CI	Casa Verde
CI	Casablanca
CI	Casalata
CI	Casas Azules
CI	Casas de Chacabuco
CI	Casas de El Retiro
CI	Casas de Guallali
CI	Casas de La Esperanza
CI	Casas de la Quebradilla
CI	Casas de Lata
CI	Casas de Los Bajos
CI	Casas de Peuco
CI	Casas Fundo El Medano
CI	Casas Gualcapo
CI	Casas La Sombra
CI	Casas Punta de Guana
CI	Casas Viejas
CI	Casas Villucura
CI	Cascabeles
CI	Cascajal
CI	Cascavillane
CI	Cascavillani
CI	Caseron
CI	Casiri
CI	Casma
CI	Caspana
CI	Castillo
CI	Castilluma
CI	Castro
CI	Casuto
CI	Catalina
CI	Catanave
CI	Catapilco
CI	Catarpe
CI	Catemu
CI	Catina
CI	Cato
CI	Catripulli
CI	Caucau
CI	Caunao
CI	Caupolican
CI	Cauquenes
CI	Cautenicsa
CI	Cavancha
CI	Caya
CI	Cayulfu
CI	Cebadal
CI	Centinela
CI	Central
CI	Central los Molles
CI	Centro
CI	Centro Pisiga
CI	Cerrillo Bobadilla
CI	Cerrillo Caivan
CI	Cerrillos
CI	Cerrillos de Rapel
CI	Cerrillos de Tamaya
CI	Cerro Alegre
CI	Cerro Colorado
CI	Cerro Dorotea
CI	Cerro Iman
CI	Cerro Moreno
CI	Cerro Negro
CI	Cerro Verde
CI	Cerro Viejo
CI	Cerros Las Juntas
CI	Chabunco
CI	Chaca
CI	Chacaicillo
CI	Chacalluta
CI	Chacao
CI	Chacao Viejo
CI	Chacarilla
CI	Chacarilla de Macul
CI	Chacarillas
CI	Chacay
CI	Chacra Alto Chiza
CI	Chacra Valparaiso
CI	Chacurra
CI	Chadmo
CI	Chagres
CI	Chagual
CI	Chaguane
CI	Chaguaral
CI	Chaiguao
CI	Chaihuin
CI	Chaiten
CI	Chaiviri
CI	Chalinga
CI	Chalinguita
CI	Chalipen
CI	Challapujo
CI	Challaserca
CI	Challavilque
CI	Challe
CI	Challuma
CI	Chalviri
CI	Chamiza
CI	Chamonate
CI	Champulli
CI	Chana
CI	Chanabaya
CI	Chanar
CI	Chanar Blanco
CI	Chanar Quemado
CI	Chanaral
CI	Chanaral Alto
CI	Chanaral de Aceituna
CI	Chanaral de Caren
CI	Chanarcillo
CI	Chancacollo
CI	Chancal
CI	Chanchoquin
CI	Chanco
CI	Chancon
CI	Chanihue
CI	Chanopalca
CI	Chanqueahue
CI	Chanquin
CI	Chanquiuque
CI	Chaparano
CI	Chapi
CI	Chapicollo
CI	Chapilca
CI	Chapiquilta
CI	Chapiquina
CI	Chapire
CI	Chapisca
CI	Chapoco
CI	Chapod
CI	Chapuma
CI	Chaqui
CI	Chaquire
CI	Chara
CI	Charrabata
CI	Charrua
CI	Charvinto
CI	Chauchi
CI	Chauchil
CI	Chaul
CI	Chaula
CI	Chaulinec
CI	Chaurahue
CI	Chaxas
CI	Chechil
CI	Checo de Plata
CI	Chela
CI	Chelin
CI	Chelis
CI	Chellepin
CI	Cheniu
CI	Chepica
CI	Chepica Abajo
CI	Chepu
CI	Chequen
CI	Cherquenco
CI	Chiapa
CI	Chichiguan
CI	Chictusa
CI	Chicureo Abajo
CI	Chidguapi
CI	Chigualoco
CI	Chiguayante
CI	Chijo
CI	Chilcaya
CI	Chile Chico
CI	Chilecito
CI	Chilispaya
CI	Chillaiza
CI	Chillan
CI	Chillan Viejo
CI	Chillancito
CI	Chillehue
CI	Chiloe
CI	Chilpa
CI	Chimbarongo
CI	Chinchillani
CI	Chinchin Grande
CI	Chinchorro
CI	Chincolco
CI	Chingoles
CI	Chinigue
CI	Chintaguay
CI	Chintuya
CI	Chipallanta
CI	Chironta
CI	Chislluma
CI	Chislluma Viejo
CI	Chitigua
CI	Chitita
CI	Chiuchiu
CI	Chiza
CI	Choapa
CI	Chocalan
CI	Chohen
CI	Cholchol
CI	Cholguan
CI	Chollay
CI	Chomedahue
CI	Chonchi
CI	Chope
CI	Choquelimpie
CI	Choroico
CI	Choros
CI	Choros Altos
CI	Choros Bajos
CI	Chorrillos
CI	Choshuenco
CI	Chovellen
CI	Choyota
CI	Chuallani
CI	Chucalen
CI	Chuchunco
CI	Chucullo
CI	Chucumata
CI	Chucuyo
CI	Chudal
CI	Chulchui
CI	Chullumpire
CI	Chulluncani
CI	Chulo
CI	Chungara
CI	Chungungo
CI	Chuquiananta
CI	Chuquicamata
CI	Chuquichambe
CI	Churiguaya
CI	Churina
CI	Chusmisa
CI	Chusquina
CI	Chuviri
CI	Cifuncho
CI	Citanane
CI	Ciusa
CI	Cobija
CI	Cobquecura
CI	Cochamo
CI	Cochantare
CI	Cochiza
CI	Cochrane
CI	Codao
CI	Codegua
CI	Codpa
CI	Coelemu
CI	Cogomo
CI	Cogoti
CI	Coi-Coi
CI	Coihaique
CI	Coihaique Alto
CI	Coihueco
CI	Coihuin
CI	Coinco
CI	Coipamo
CI	Coipoma
CI	Coipue
CI	Coiron
CI	Coironal
CI	Cojabaya
CI	Colaco
CI	Colbun
CI	Colbun Alto
CI	Colchagua
CI	Colchane
CI	Coleal
CI	Colegio de Bucalemu
CI	Colegual
CI	Colegual Chico
CI	Colegual del Salto
CI	Colicheo
CI	Colico
CI	Colico Norte
CI	Coligues
CI	Colihue
CI	Colimavia
CI	Colin
CI	Colina
CI	Collacagua
CI	Collacollani
CI	Collaguasi
CI	Collanco
CI	Collentane
CI	Collico
CI	Colliguay
CI	Collins
CI	Collipulli
CI	Collo
CI	Colmuyao
CI	Colonia Alerce
CI	Colonia Bernardo O'Higgins
CI	Colonia Degan
CI	Colonia El Gato
CI	Colonia La Paloma
CI	Colonia Las Marcas
CI	Colonia Loncotoro
CI	Colonia Metrenquen
CI	Colonia Yungay
CI	Colpita
CI	Colpitas
CI	Coltauco
CI	Colton
CI	Colu
CI	Colupito
CI	Comalle
CI	Combarbala
CI	Cometierra
CI	Compania
CI	Compania Alta
CI	Compania Baja
CI	Compi
CI	Compu
CI	Comunidad Campo de Ahumada
CI	Comunidad Covarrubias
CI	Comunidad de Auco
CI	Comunidad de Idahue
CI	Comunidad de las Bandurrias
CI	Comunidad El Guapi
CI	Comunidad Huellelhue
CI	Comunidad La Estancilla
CI	Comunidad La Higuera
CI	Comunidad La Polcura
CI	Comunidad las Coimas
CI	Comunidad Puren
CI	Comunidad Quebrada Seca
CI	Comunidad Villa Alhue
CI	Conanoxa
CI	Conao
CI	Conaripe
CI	Conay
CI	Concepcion
CI	Conchali
CI	Conchi
CI	Conchi Viejo
CI	Concon
CI	Condor
CI	Condoriaco
CI	Condoroma
CI	Confluencia
CI	Conico
CI	Conjunto Residencial Bayona
CI	Consa
CI	Constitucion
CI	Contao
CI	Contornasa
CI	Contulmo
CI	Contuy
CI	Convento El Molino
CI	Convento Viejo
CI	Copaquiri
CI	Copatanca
CI	Copequen
CI	Copiapo
CI	Copihue
CI	Copiulemu
CI	Coquiao
CI	Coquimbo
CI	Coraguaila
CI	Coraguano
CI	Corcolen
CI	Corcota
CI	Corneche
CI	Coronel
CI	Coronel Alcerreca
CI	Corral
CI	Corral de Salas
CI	Corral Munoz
CI	Corral Quemado
CI	Corrales
CI	Corrales del Juncalito
CI	Correntada del Toro
CI	Correntoso
CI	Corsa
CI	Cortacollo
CI	Cortadera
CI	Cortadero
CI	Corte Alto
CI	Cosapilla
CI	Cosca
CI	Coscaya
CI	Cosmito
CI	Cosquire
CI	Costa Rica
CI	Cotasaya
CI	Coya Sur
CI	Coyanco
CI	Cozcoz
CI	Crucero
CI	Cruces
